date,month,year,lake,sampling gear,site,Electrofishing time fished (seconds),Bluegill Captured
20170809,8,2017,MCDERMOTT,MINI-FYKE,5,NA,40
20170909,9,2017,MCDERMOTT,MINI-FYKE,1,NA,16
20170909,9,2017,MCDERMOTT,MINI-FYKE,2,NA,7
20170909,9,2017,MCDERMOTT,MINI-FYKE,3,NA,31
20170909,9,2017,MCDERMOTT,MINI-FYKE,4,NA,9
20170909,9,2017,MCDERMOTT,MINI-FYKE,5,NA,35
20170621,6,2017,SANDY BEACH,MINI-FYKE,1,NA,7
20170621,6,2017,SANDY BEACH,MINI-FYKE,2,NA,0
20170621,6,2017,SANDY BEACH,MINI-FYKE,3,NA,2
20170621,6,2017,SANDY BEACH,MINI-FYKE,4,NA,4
20170621,6,2017,SANDY BEACH,MINI-FYKE,5,NA,4
20170711,7,2017,SANDY BEACH,MINI-FYKE,1,NA,2
20170711,7,2017,SANDY BEACH,MINI-FYKE,2,NA,1
20170711,7,2017,SANDY BEACH,MINI-FYKE,3,NA,1
20170711,7,2017,SANDY BEACH,MINI-FYKE,4,NA,4
20170711,7,2017,SANDY BEACH,MINI-FYKE,5,NA,1
20170808,8,2017,SANDY BEACH,MINI-FYKE,1,NA,1
20170808,8,2017,SANDY BEACH,MINI-FYKE,2,NA,7
20170808,8,2017,SANDY BEACH,MINI-FYKE,3,NA,2
20170808,8,2017,SANDY BEACH,MINI-FYKE,4,NA,148
20170808,8,2017,SANDY BEACH,MINI-FYKE,5,NA,23
20170910,9,2017,SANDY BEACH,MINI-FYKE,1,NA,20
20170910,9,2017,SANDY BEACH,MINI-FYKE,2,NA,2
20170910,9,2017,SANDY BEACH,MINI-FYKE,3,NA,2
20170910,9,2017,SANDY BEACH,MINI-FYKE,4,NA,2
20170910,9,2017,SANDY BEACH,MINI-FYKE,5,NA,13
20170623,6,2017,MCDERMOTT,NIGHT SEINE,1,NA,27
20170623,6,2017,MCDERMOTT,NIGHT SEINE,2,NA,79
20170623,6,2017,MCDERMOTT,NIGHT SEINE,3,NA,42
20170623,6,2017,MCDERMOTT,NIGHT SEINE,4,NA,44
20170713,7,2017,MCDERMOTT,NIGHT SEINE,1,NA,19
20170713,7,2017,MCDERMOTT,NIGHT SEINE,2,NA,24
20170713,7,2017,MCDERMOTT,NIGHT SEINE,3,NA,20
20170713,7,2017,MCDERMOTT,NIGHT SEINE,4,NA,5
20170809,8,2017,MCDERMOTT,NIGHT SEINE,1,NA,48
20170809,8,2017,MCDERMOTT,NIGHT SEINE,2,NA,42
20170809,8,2017,MCDERMOTT,NIGHT SEINE,3,NA,17
20170809,8,2017,MCDERMOTT,NIGHT SEINE,4,NA,6
20170623,6,2017,SANDY BEACH,NIGHT SEINE,1,NA,0
20170623,6,2017,SANDY BEACH,NIGHT SEINE,2,NA,0
20170623,6,2017,SANDY BEACH,NIGHT SEINE,3,NA,3
20170623,6,2017,SANDY BEACH,NIGHT SEINE,4,NA,0
20170623,6,2017,SANDY BEACH,NIGHT SEINE,5,NA,2
20170713,7,2017,SANDY BEACH,NIGHT SEINE,1,NA,0
20170713,7,2017,SANDY BEACH,NIGHT SEINE,2,NA,4
20170713,7,2017,SANDY BEACH,NIGHT SEINE,3,NA,1
20170713,7,2017,SANDY BEACH,NIGHT SEINE,4,NA,0
20170713,7,2017,SANDY BEACH,NIGHT SEINE,5,NA,1
20170809,8,2017,SANDY BEACH,NIGHT SEINE,1,NA,3
20170809,8,2017,SANDY BEACH,NIGHT SEINE,2,NA,14
20170809,8,2017,SANDY BEACH,NIGHT SEINE,3,NA,0
20170809,8,2017,SANDY BEACH,NIGHT SEINE,4,NA,0
20170809,8,2017,SANDY BEACH,NIGHT SEINE,5,NA,0
